POB11,POB14,POB21,POB23,DISC1,DISC7,DISC8,DISC9,DISC10,DISC11,DISC12,DISC13
31.0,52.0,77.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
7.0,10.0,23.0,-6.0,3.0,0.0,3.0,0.0,-6.0,0.0,0.0,-6.0
14.0,17.0,35.0,0.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0
-6.0,5.0,11.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
25.0,21.0,55.0,3.0,6.0,-6.0,3.0,0.0,-6.0,-6.0,-6.0,0.0
25.0,33.0,65.0,4.0,5.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0,-6.0
23.0,31.0,54.0,-6.0,-6.0,0.0,0.0,-6.0,0.0,-6.0,0.0,0.0
10.0,7.0,17.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
4.0,8.0,13.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6.0,16.0,3.0,-6.0,-6.0,0.0,0.0,-6.0,-6.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,3.0,7.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
4.0,4.0,8.0,0.0,3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0
